ZONE, AREA, CLINIC CODE, CLINIC, ADDRESS, POSTAL, TEL, FAX, OPERATING HOURS MON - FRI, SAT, SUN, PUBLIC HOLIDAY, REMARKS, LAT, LNG
"CENTRAL","BUKIT TIMAH","SGP000223","MANDARIN MEDICAL CENTRE","66 JK BUILDING JALAN JURONG KECHIL","598586","64667822","64664353","8.30AM-12.00PM,2.00PM-4.30PM(CLOSED ON WEDAFTERNOON)","8.30AM-12.00PM","8.30AM-12.00PM","CLOSED","TEMPORARYCLOSURE FROM 24-AUG-2016 TO 30-AUG2016.", 1.3405198, 103.7741049
"CENTRAL","BUKIT TIMAH","SGP000618","HEALTHCARE MEDICAL @ RAILMALL","446 RAIL MALL UPPER BUKIT TIMAH ROAD","678067","67655733","67655377","8.30AM-12.30PM,2.00PM-4.30PM(CLOSED ON FRIAFTERNOON), 6.30PM-9.00PM","9.30AM-12.30PM","9.30AM-12.30PM","CLOSED","", 1.3591615, 103.7676674
"SOUTH-WEST","BUONA VISTA","SGP000730","FUSION MEDICAL & HEALTH SCREENING CENTRE","1 NEXUS @ONE-NORTH FUSIONOPOLIS LINK #01-05","138542","62506548","62506548","8.00AM-4.30PM","CLOSED","CLOSED","CLOSED","", 1.299348, 103.789619
"EAST","CHAI CHEE","SGP000215","LIM CLINIC & SURGERY","BLK 20 CHAI CHEE ROAD #01-418/420","461020","62412211","62412268","9.00AM-12.00PM2.00PM-5.00PM","9.00AM-12.00PM","9.00AM-12.00PM","CLOSED","Closed on Christmasand Chinese NewYear's Day", 1.32635, 103.922814
"NORTH-WEST","CHOA CHU KANG","SGP000613","RIVER OF LIFE FAMILY CLINIC","BLK 26 TECK WHYE LANE #01-190","680026","67600501","67600870","MON-WED/FRI:9.00AM-12.00PM,3.00PM-6.00PM WED:7.00PM-9.30PM THU:CLOSED","9.00AM-12.00PM","7.00PM-9.30PM","CLOSED","", 1.377558, 103.755584
"CITY","CHINATOWN","SGP000687","VIENNA MEDICAL CLINIC","277A SOUTH BRIDGE ROAD","58826","65368800","","9.00AM-6.00PM","9.00AM-1.00PM","CLOSED","CLOSED","", 1.2817712, 103.8452265
"EAST","CHAI CHEE","SGP000483","EVANGEL MEDICAL CLINIC","BLK 10 CHAI CHEE ROAD #01-01","467010","64490555","62423037","9.00AM-12.30PM,2.30PM-5.00PM","CLOSED","CLOSED","CLOSED","", 1.3270163, 103.9244409
"NORTH-WEST","CHOA CHU KANG","SGP000631","ONELIFE FAMILY CLINIC","BLK 534 CHOA CHU KANG STREET 51 #01-41","680534","67600782","67602814","8.30AM-12.30PM2.00PM-4.30PM7.00PM-9.00PM(CLOSED ON TUE/FRIEVENING)","8.30AM-12.30PM","CLOSED","CLOSED","", 1.392074, 103.742507
"EAST","CHANGI","SGP000674","LIM CLINIC","295 CHANGI ROAD","419773","67426335","67427574","MON/TUE/THU/FRI:9.00AM-1.00PM,2.00PM-5.00PM WED:9.00AM-1.00PM","9.00AM-12.00PM","9.00AM-12.00PM","CLOSED","", 1.31809, 103.9072946
"NORTH-WEST","CHOA CHU KANG","SGP000456","HARMONY FAMILY CLINIC","BLK 235 CHOA CHU KANG CENTRAL #B1-25","680235","67623979","67621293","9.00AM-12.00PM,2.00PM-4.00PM","9.00AM-12.00PM","CLOSED","CLOSED","", 1.379759, 103.748745
"NORTH-WEST","CHOA CHU KANG","SGP000424","LIN & SONS CLINIC & SURGERY PTE LTD","BLK 18 TECK WHYE LANE #01-97","680018","67690554","67696459","8.30AM-1.00PM,2.00PM-5.00PM,6.30PM-9.30PM","8.30AM-1.00PM,2.00PM-5.00PM","9.00AM-1.00PM","9.00AM-1.00PM","", 1.3780861, 103.75414
"NORTH-WEST","CHOA CHU KANG","SGP000176","JO-LIN FAMILY CLINIC & SURGERY","BLK 533 LIMBANG SHOPPING CENTRE CHOA CHU KANGSTREET 51 #01-29","680533","67606014","67606014","8.30AM-12.30PM2.00PM-4.00PM6.30PM-9.30PM(CLOSED ON WEDAFTERNOON & FRIEVENING)","8.30AM-12.30PM","6.30PM-9.30PM","CLOSED","", 1.392015, 103.743131
"EAST","CHANGI","SGP000682","SHENTON MEDICAL GROUP (UE BIZHUB EAST)","2 UE BIZHUB PARK EAST CHANGI BUSINESS PARK AVENUE1 #01-03","486015","66362490","65436410","8.30AM-1.00PM,2.00PM-5.30PM","CLOSED","CLOSED","CLOSED","", 1.3352505, 103.9638833
"NORTH-WEST","CHOA CHU KANG","SGP000101","EVERCARE MEDICAL CLINIC (475) PTE LTD","BLK 475 SUNSHINE PLACE CHOA CHU KANG AVENUE 3#02-02","680475","67666465","67690767","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM","8.30AM-12.30PM","9.00AM-12.00PM","9.00AM-12.00PM","- LAST REGISTRATION15 MINS BEFORECLOSING OR EARLIERIF MAXIMUMNUMBER OFPATIENTS REACHEDFOR THAT SESSION.", 1.3782777, 103.7390269
"NORTH-WEST","CHOA CHU KANG","SGP000507","THE PREMIER MEDICAL CLINIC","BLK 304 CHOA CHU KANG AVENUE 4 #01-651","680304","67600643","67631712","8.30AM-11.30AM,2.00PM-4.30PM,6.30PM-8.30PM","8.30AM-11.30AM","9.00AM-11.30AM","9.00AM-11.00AM","- NO NIGHT CLINICON 19 MAY 2016.- CLINIC CLOSED ON21 MAY 2016.", 1.3802221, 103.7372754
"CITY","CITY HALL","SGP000609","THE CLINIC @ CAMPUS PTE LTD","70 STAMFORD ROAD #B1-21","178901","63339300","63339301","8.30AM-1.00PM,2.00PM-5.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.2962929, 103.850145
"CITY","CITY HALL","SGP000309","SHALOM MEDICAL DENTAL GROUP","BLK 231 BRAS BASAH COMPLEX BAIN STREET #03-57","180231","63371884","63376976","9.00AM-12.30PM,2.00PM-5.00PM","9.00AM-1.00PM","CLOSED","CLOSED","", 1.2969076, 103.8536035
"NORTH-WEST","CHOA CHU KANG","SGP000100","EVERCARE MEDICAL CLINIC","BLK 253 KEAT HONG SHOPPING CENTRE CHOA CHU KANGAVENUE 1 #01-14A","680253","67699655","67664935","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM","8.30AM-12.30PM","9.00AM-12.00PM","9.00AM-12.00PM","CLINIC LASTREGISTRATION IS 15MINS BEFORECLOSING TIME OREARLIER THAN ASSTATED IF WE HAVEREACHED THEMAXIMUM NUMBEROF PATIENTS THATCAN BE ACCEPTEDFOR THAT SESSION.", 1.377491, 103.744358
"CITY","CITY HALL","SGP000361","THE MEDICAL PRACTICE PTE LTD","1 ONE RAFFLES LINK RAFFLES LINK #01-03A","39393","63329086","62386053","8.30AM-12.15PM1.30PM-5.15PM","8.30AM-12.15PM","CLOSED","CLOSED","", 1.2920448, 103.8558395
"NORTH-WEST","CHOA CHU KANG","SGP000462","TEMASEK MEDICAL CENTRE","BLK 624 YEW TEE SHOPPING CENTRE CHOA CHU KANGSTREET 62 #01-226","680624","67665766","67665800","8.30AM-12.30PM2.00PM-4.30PM6.30PM-9.00PM","8.30AM-12.30PM","9.00AM-1.00PM","9.00AM-12.00PM","LAST REGISTRATION15 MINS BEFORECLOSING TIME.", 1.39808, 103.74711
"CITY","CITY HALL","SGP000681","SHENTON MEDICAL GROUP (ESPLANADE)","90 ESPLANADE MRT STATION BRAS BASAH ROAD B1-02","189562","68870151","63376874","8.30AM-1.00PM,2.00PM-5.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.293436, 103.855381
"CITY","CITY HALL","SGP000722","CRAWFURD MEDICAL","3 SUNTEC CITY MALL (NORTH WING BETWEEN TOWER 1& 2) TEMASEK BOULEVARD #02-482","38983","68049580","63419757","8.30AM-12.30PM,2.00PM-6.00PM","8.30AM-1.00PM","CLOSED","CLOSED","", 1.295644, 103.858591
"NORTH-WEST","CHOA CHU KANG","SGP000679","HEALTHWERKZ MEDICAL CENTRE (CCK) PTE LTD","BLK 225 CHOA CHU KANG CENTRAL #01-199","680225","67662827","67660568","8.30AM-2.00PM,7.00PM-9.00PM","8.30AM-12.30PM","CLOSED","CLOSED","LAST REGISTRATIONIS 30 MINS OREARLIER BEFORECLOSING TIMEDEPENDING ON THEQUEUE.", 1.3809967, 103.7448414
"CITY","CITY HALL","SGP000179","K N CHIN & ASSOCIATES PTE LTD","3 SUNTEC CITY MALL TEMASEK BOULEVARD #02-400","38983","63372522","63346656","8.30AM-5.30PM","8.30AM-12.30PM","CLOSED","CLOSED","LAST REGISTRATIONENDS 30MINSBEFORE CLOSINGTIME.", 1.2951272, 103.8599418
"CENTRAL-WEST","CLEMENTI","SGP000357","THE JURONG DISPENSARY","BLK 443 CLEMENTI AVENUE 3 #01-77","120443","67774494","67771075","9.00AM-12.30PM,3.00PM-5.00PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3142217, 103.7640163
"SOUTH-WEST","DOVER","SGP000066","DOVER CLINIC AND SURGERY PTE LTD","BLK 28 DOVER CRESCENT #01-89","130028","67757410","67762851","8.30AM-12.30PM,2.00PM-5.00PM,7.00PM-9.00PM(CLOSED ON TUE & FRINIGHTS)","8.30AM-2.00PM","CLOSED","CLOSED","", 1.304381, 103.781952
"CENTRAL-WEST","CLEMENTI","SGP000385","WEST COAST CLINIC & SURGERY","BLK 722 CLEMENTI WEST STREET 2 #01-162","120722","67770183","67770183","8.30AM-12.15PM2.00PM-4.15PM6.30PM-8.15PM","8.30AM-12.15PM","9.00AM-12.15PM","CLOSED","", 1.302909, 103.763786
"CENTRAL-WEST","CLEMENTI","SGP000440","CLEMENTI FAMILY HEALTHPOINT","BLK 308 CLEMENTI AVENUE 4 #01-351","120308","67744373","67744373","8.30AM-12.30PM,2.30PM-4.30PM,6.30PM-9.30PM(CLOSED ON WED & FRIEVENING)","8.30AM-11.00AM,7.00PM-9.30PM","8.30AM-11.00AM,7.00PM-9.30PM","CLOSED","CLOSED ONCHRISTMAS AND 1STDAY OF CHINESENEW YEAR'S DAY.", 1.3210607, 103.7669158
"CENTRAL-WEST","CLEMENTI","SGP000200","LEE CLINIC PTE LTD","BLK 325 CLEMENTI AVENUE 5 #01-139","120325","67784608","67758956","9.00AM-12.30PM2.00PM-4.30PM6.30PM-8.00PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3151003, 103.7668562
"CENTRAL-WEST","CLEMENTI","SGP000693","LC CLINIC MEDICAL SURGERY AESTHETICS","BLK 446 CLEMENTI AVENUE 3 #01-191","120446","64640932","64571129","8.30AM-10.00PM","8.30AM-10.00PM","11.00AM-10.00PM","8.30AM-10.00PM","", 1.312523, 103.7649102
"SOUTH-WEST","DOVER","SGP000067","DOVER MEDICAL CENTRE","BLK 69 AYER RAJAH AMENITY CENTRE AYER RAJAHCRESCENT #01-03","139961","67756266","67756966","8.30AM-5.30PM","CLOSED","CLOSED","CLOSED","", 1.296167, 103.787009
"CITY","CITY HALL","SGP000018","BETHESDA MEDICAL CENTRE PTE LTD","3 SUNTEC CITY MALL TEMASEK BOULEVARD #B1-124","38983","63378933","68843633","8.30AM-1.00PM,2.00PM-5.30PM","9.00AM-11.30PM","CLOSED","CLOSED","PATIENTS TO BEREGISTERED 30 MINSBEFORE CLOSING.", 1.2951272, 103.8599418
"SOUTH-WEST","COMMONWEALTH","SGP000472","MEDICAL CENTRE @ COMMONWEALTH","BLK 88 TANGLIN HALT ROAD #01-03","141088","64756116","64766116","8.30AM-12.30PM,1.30PM-5.00PM,6.30PM-9.00PM(CLOSED ON FRINIGHTS)","9.00AM-2.00PM","CLOSED","CLOSED","", 1.3011226, 103.7985717
"SOUTH-WEST","DOVER","SGP000523","TRINITY MEDICAL CLINIC","BLK 19A DOVER VILLE DOVER CRESCENT #01-01","131019","67788868","67788868","9.00AM-12.00PM,2.00PM-4.00PM","9.00AM-12.00PM","9.00AM-11.30AM","CLOSED","", 1.307379, 103.784569
"EAST","EAST COAST","SGP000202","LIANG CLINIC","695D EAST COAST ROAD","459059","62415944","64450141","8.30AM-12.00PM,2.00PM-5.00PM(CLOSED ON WEDAFTERNOON)","8.30AM-12.00PM","CLOSED","CLOSED","", 1.311679, 103.92209
"EAST","EAST COAST","SGP000093","EAST COAST FAMILY CLINIC PTE LTD","121 THE MAKENA MEYER ROAD #01-05","437932","64404556","63483858","MON/TUE/THU/FRI:8.30AM-3.00PM,6.30PM-8.30PM(CLOSED ON FRINIGHTS) WED: 8.30AM-12.30PM, 6.30PM-8.30PM","9.00AM-12.00PM","9.00AM-12.00PM","CLOSED","", 1.297985, 103.894436
"CENTRAL-EAST","EUNOS","SGP000754","HEALTHWAY MEDICAL CLINIC (JALAN DAMAI)","BLK 661 JALAN DAMAI #01-129","410661","67427994","67443904","8.30AM-1.00PM,2.00PM-5.00PM,6.30PM-9.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.334481, 103.907917
"SOUTH-WEST","DOVER","SGP000622","THE CHELSEA CLINIC (ROCHESTER)","35 ROCHESTER DRIVE #03-21","138639","65703913","65705438","9.00AM-12.30PM,2.00PM-6.00PM(CLOSED ON WEDAFTERNOONS)","9.00AM-12.30PM","CLOSED","CLOSED","MEMBERS AREADVISE TO MAKE ANAPPOINTMENTBEFORE VISITINGCLINIC.", 1.305579, 103.7882448
"EAST","EAST COAST","SGP000029","C & K FAMILY CLINIC PTE LTD","108 UPPER EAST COAST ROAD","455297","62429588","62429277","9.00AM-12.00PM,6.00PM-9.00PM","9.00AM-12.00PM","9.00AM-12.00PM","9.00AM-12.00PM","CLOSED ONCHRISTMAS ANDCHINESE NEW YEAR'SDAY.LAST REGISTRATIONIS 30MINS BEFORECLOSING TIME.", 1.313281, 103.92879
"EAST","EAST COAST","SGP000120","FRANKEL CLINIC","697 EAST COAST ROAD #01-01","459060","64455457","64455457","9.15AM-12.15PM2.30PM-4.15PM7.00PM-8.30PM","9.15AM-12.15PM","9.15AM-12.15PM","9.15AM-12.15PM","", 1.312045, 103.9221778
"CENTRAL-WEST","FARRER ROAD","SGP000390","YAP MEDICARE CLINIC PTE LTD","BLK 8 EMPRESS ROAD #01-03","260008","64712338","64763371","8.30AM-12.00PM,2.00PM-4.00PM,7.00PM-8.45PM","8.30AM-12.00PM","8.30AM-12.00PM","CLOSED","CLOSED ON CHINESENEW YEAR'S DAY,CHRISTMAS, NEWYEAR'S DAY'S DAY &NATIONAL DAY.", 1.3164667, 103.8058649
"CENTRAL-EAST","GEYLANG","SGP000311","SIMS DRIVE MEDICAL CLINIC","BLK 53 SIMS PLACE #01-174","380053","67411607","67411607","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM","8.30AM-12.30PM,7.00PM-9.00PM","8.30AM-12.30PM","CLOSED","", 1.3180079, 103.8801279
"CENTRAL-EAST","GEYLANG","SGP000721","TJ MEDICAL CLINIC & SURGERY","48 SIMS PLACE #01-167","380048","67424413","67483813","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM(CLOSED ON FRINIGHT)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3176133, 103.8793736
"EAST","EAST COAST","SGP000597","CLINIC @ COSTA","84 COSTA DEL SOL BAYSHORE ROAD #01-36","469994","62433638","62433611","8.30AM-2.30PM,6.30PM-9.00PM(CLOSED ON WEDEVENING)","8.30AM-1.00PM","CLOSED","PH(SELECTED):9.00AM-12.00PM","", 1.3120587, 103.940153
"NORTH-EAST","HOUGANG","SGP000219","LONDON (MH) CLINIC & SURGERY","BLK 104 HOUGANG AVENUE 1 #01-1123","530104","62807262","62807262","8.30AM-12.00PM,2.00PM-3.45PM,6.00PM-8.30PM(CLOSED ON WED & FRIEVENINGS)","8.30AM-11.30AM","CLOSED","SELECTED","", 1.354793, 103.890305
"CITY","HAVELOCK ROAD","SGP000770","DR GARY'S FAMILY CLINIC","BLK 77 INDUS ROAD #01-523","160077","68039375","","8.30AM-1.30PM,4.00PM-7.30AM(CLOSED AT 5.30PMON FRIDAYS)","8.30-12.30PM","CLOSED","CLOSED","", 1.2911573, 103.8267406
"CENTRAL","HOLLAND","SGP000305","SEFTON MEDICAL CENTRE PTE LTD","BLK 41 HOLLAND DRIVE #01-25","270041","64764476","64768476","8.30AM-12.30PM,1.30PM-4.00PM,7.00PM-9.00PM(CLOSED ON FRIAFTERNOON & NIGHT)","8.30AM-12.30PM","CLOSED","CLOSED","- PATIENT TO ARRIVEAT LEAST 15 MINSBEFORE CLOSING.- TEMPORARYCLOSURE FROM 13-SEP-2016 TO 28-SEP-2016.", 1.3076053, 103.7934573
"CENTRAL","HOLLAND","SGP000227","MAY MEDICAL CLINIC & SURGERY","BLK 41 HOLLAND DRIVE #01-19","270041","67743318","67743329","8.00AM-12.30PM","8.00AM-12.30PM","CLOSED","CLOSED","", 1.3076053, 103.7934573
"CENTRAL","HOLLAND","SGP000379","VISTA MEDICAL CENTRE PTE LTD","2 ACACIA COURT PANDAN VALLEY #01-211","597626","67780822","67780722","9.00AM-12.30PM","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3204017, 103.7789274
"CENTRAL","HOLLAND","SGP000343","THE ARCADIA CLINIC","2 ACACIA COURT PANDAN VALLEY #01-211","597626","64695122","64695762","9.00AM-12.30PM,2.00PM-4.30PM,6.30PM-8.30PM","9.00AM-12.30PM","9.00AM-12.30PM","CLOSED","", 1.3204017, 103.7789274
"SOUTH","HARBOURFRONT","SGP000604","MINT MEDICAL CENTRE","1 HARBOURFRONT TOWER ONE HARBOURFRONT PLACE#01-10","98633","62729372","62729218","9.00AM-1.00PM,2.00PM-5.00PM","10.00AM-11.30AM(STRICTLY BYAPPOINTMENTONLY)","CLOSED","CLOSED","LAST REGISTRATIONIS 15 MINS BEFORECLOSING TIME.", 1.2648081, 103.8192714
"CENTRAL-EAST","GEYLANG","SGP000008","ANTEH DISPENSARY PTE LTD","368 GEYLANG ROAD","389381","67441809","68418948","9.00AM-12.00PM2.00PM-5.00PM","9.00AM-12.00PM","CLOSED","CLOSED","", 1.3129499, 103.88136
"SOUTH","HARBOURFRONT","SGP000075","CLIFFORD DISPENSARY PTE LTD","3 HARBOURFRONT TOWER TWO HARBOURFRONT PLACE#04-01","99254","63760788","63760775","8.30AM-1.00PM2.00PM-5.30PM","CLOSED","CLOSED","CLOSED","", 1.2643, 103.8186374
"CENTRAL","HOLLAND","SGP000629","ONEDOCTORS FAMILY CLINIC (HOLLAND VILLAGE)","253 HOLLAND AVENUE #02-01","278982","64698938","64671682","9.00AM-3.00PM,5.00PM-10.00PM(CLOSED ON FRIEVENING)","9.00AM-3.00PM","CLOSED","CLOSED","", 1.311348, 103.7957027
"NORTH-EAST","HOUGANG","SGP000448","HOUGANG CENTRAL MEDICAL CLINIC","BLK 804 HOUGANG CENTRAL #01-124","530804","63820405","63820405","9.00AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM(CLOSED ON TUE &THU NIGHTS)","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3709367, 103.8946513
"NORTH-EAST","HOUGANG","SGP000709","PROCROSS MEDICAL CENTRE (HOUGANG)","BLK 449 HOUGANG AVENUE 10 #B1-509","530449","67022848","67022840","12.30PM-4.30PM,7.30PM-9.30PM","9.00AM-12.00PM","9.00AM-12.00PM","9.00AM-12.00PM","", 1.378798, 103.895177
"NORTH-EAST","HOUGANG","SGP000598","S. LEE CLINIC","BLK 644 HOUGANG AVENUE 8 #01-265","530644","63861632","63865935","9.00AM-12.30PM2.30PM-4.30PM7.00PM-9.00PM","9.00AM-12.30PM","9.00AM-12.30PM","CLOSED","", 1.3714254, 103.8813377
"NORTH-EAST","HOUGANG","SGP000148","HEALTHWAY MEDICAL CLINIC","BLK 684 HOUGANG AVENUE 8 #01-965","530684","63880339","63880337","9.00AM-1.00PM,2.00PM-5.00PM,6.00PM-9.00PM","9.00AM-1.00PM","9.00AM-1.00PM","9.00AM-1.00PM","", 1.3741783, 103.8868302
"NORTH-EAST","HOUGANG","SGP000303","SEAH CLINIC","BLK 311 HOUGANG AVENUE 5 #01-183","530311","62827254","62828769","8.30AM-12.00PM,2.30PM-5.00PM","8.30AM-12.00PM","8.30AM-12.00PM","CLOSED","", 1.3656466, 103.8948946
"NORTH-EAST","HOUGANG","SGP000747","FAMILY CARE MEDICAL CENTRE PTE LTD","BLK 916 HOUGANG AVENUE 9 #01-08","530916","63855177","63124792","8.30AM-12.30PM,2.00PM-4.30PM,6.30PM-8.30PM(CLOSED ON FRIEVENING)","8.30AM-12.30PM","CLOSED","CLOSED","", 1.374913, 103.884238
"NORTH-EAST","HOUGANG","SGP000551","MEDLIFE CLINIC & SURGERY","BLK 684 HOUGANG AVENUE 8 #01-985","530684","63850836","63852463","9.00AM-3.30PM,6.30PM-9.30PM","9.00AM-1.00PM","9.00AM-1.00PM,7.00PM-9.00PM","9.00AM-1.00PM","", 1.3741783, 103.8868302
"NORTH-EAST","HOUGANG","SGP000228","MEDICA CLINIC","BLK 681 HOUGANG AVENUE 8 #01-837","530681","63862187","63879543","8.30AM-12.00PM,2.00PM-4.00PM","8.30AM-12.00PM","CLOSED","CLOSED","", 1.3729763, 103.885689
"NORTH-EAST","HOUGANG","SGP000290","PRIMECARE MEDICAL CLINIC","BLK 681 HOUGANG AVENUE 8 #01-823","530681","63863007","63865529","8.30AM-12.30PM2.00PM-4.30PM7.00PM-9.00PM(CLOSED ON FRIEVENING)","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3729763, 103.885689
"NORTH-EAST","HOUGANG","SGP000578","GOH CLINIC & SURGERY","BLK 204 HOUGANG STREET 21 #01-101","530204","63863836","62840594","9.00AM-12.30PM,2.00PM-4.00PM,6.30PM-8.30PM(CLOSED ON FRIEVENINGS)","9.00AM-12.30PM","CLOSED","CLOSED","", 1.3587779, 103.8849774
"NORTH-EAST","HOUGANG","SGP000082","DRS LIM & CHAN CLINIC (HOUGANG)","BLK 106 HOUGANG AVENUE 1 #01-1235","530106","62800990","62801973","8.30AM-12.30PM,2.00PM-5.00PM(CLOSED ON TUE/WEDAFTERNOON), 7.00PM-9.00PM (CLOSED ONTHU/FRI EVENING)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3539814, 103.8908827
"NORTH-EAST","HOUGANG","SGP000181","K P TAN MEDICAL CLINIC","BLK 811 HOUGANG CENTRAL #01-192","530811","63823673","63856483","8.30AM-12.30PM2.00PM-4.30PM6.30PM-8.30PM","8.30AM-12.30PM","CLOSED","CLOSED","Closed on Wed.Remarks: Clinic verycrowded", 1.371823, 103.893725
"NORTH-EAST","HOUGANG","SGP000044","CHEN FAMILY CLINIC","BLK 153 SERANGOON NORTH AVENUE 1 #01-490","550153","62812212","62813309","8.30AM-12.30PM,2.00PM-4.30PM,6.30PM-9.00PM(CLOSED ON WED-FRIEVENING)","8.30AM-1.00PM","8.30AM-1.00PM","CLOSED","", 1.3701577, 103.8723465
"NORTH-EAST","HOUGANG","SGP000437","W.P. SIM FAMILY CLINIC & SURGERY","BLK 153 SERANGOON NORTH AVENUE 1 #01-548","550153","62889924","62824332","8.30AM-12.30PM,2.00PM-3.30PM,7.00PM-9.30PM","9.00AM-12.00PM","CLOSED","CLOSED","LAST REGISTRATIONIS 15MINS BEFORECLOSING TIME.", 1.3701577, 103.8723465
"NORTH-EAST","HOUGANG","SGP000114","FAMILY HEALTHCARE CLINIC & SURGERY","BLK 151 SERANGOON NORTH AVENUE 2 #01-35","550151","62889557","62889557","MON-FRI: 8.30AM-12.00PM, 6.45PM-9.00PM (CLOSED ONTHU & FRI EVENINGS)","CLOSED","CLOSED","CLOSED","", 1.3692029, 103.8740069
"WEST","JURONG EAST","SGP000482","E J TAN CLINIC & SURGERY","BLK 104 JURONG EAST STREET 13 #01-100","600104","65606600","65630108","8.30AM-12.30PM2.00PM-4.00PM7.00PM-9.30PM","8.30AM-12.30PM7.00PM-9.00PM","7.00PM-9.00PM","CLOSED","", 1.3365972, 103.7376352
"WEST","JURONG EAST","SGP000443","TRINITY MEDICAL CLINIC","BLK 130 JURONG GATEWAY ROAD #02-205/207","600130","65607088","65665067","9.00AM-12.30PM2.00PM-4.00PM6.00PM-9.00PM","9.00AM-12.30PM","9.00AM-12.30PM","9.00AM-12.30PM","", 1.3349066, 103.739291
"EAST","JOO CHIAT","SGP000062","DAYSPRING MEDICAL CLINIC (HAIG ROAD)","30 HAIG ROAD","438737","68469979","67423453","9.00AM-3.00PM,6.00PM-9.00PM(CLOSED ON FRI & SATNIGHT)","9.00AM-1.00PM","6.00PM-9.00PM","CLOSED","", 1.3132204, 103.8957956
"NORTH-EAST","HOUGANG","SGP000713","ONECARE CLINIC HOUGANG PTE LTD","104 HOUGANG AVENUE 1 #01-1125","530104","65250325","65250396","8.00AM-4.00PM,5.00PM-10.00PM","8.00AM-10.00PM","8.00AM-10.00PM","8.00AM-10.00PM","LAST REGISTRATIONIS 30MINS BEFORECLOSING TIME.", 1.354793, 103.890305
"NORTH-EAST","HOUGANG","SGP000698","THE FAMILY PHYSICIAN CLINIC","BLK 542B SERANGOON NORTH AVE 3 #01-02","552542","65551828","65551829","8.30AM-4.00PM,6.00PM-10.00PM","9.00AM-1.00PM","9.00AM-1.00PM","CLOSED","", 1.3736422, 103.8710868
"WEST","JURONG WEST","SGP000630","SHINE FAMILY CLINIC","BLK 463 JURONG WEST STREET 41 #01-560","640463","65637934","65643048","8.30AM-1.00PM,2.00PM-5.00PM,5.30PM-8.30PM (ONLYON TUE EVENING)","CLOSED","CLOSED","CLOSED","", 1.350537, 103.7233362
"WEST","JURONG WEST","SGP000348","THE DOCTOR'S CLINIC","BLK 429 JURONG WEST AVENUE 1 #01-318","640429","65669901","","8.30AM-12.30PM,2.30PM-4.30PM,7.00PM-9.00PM(CLOSED ON WEDNIGHT)","9.00AM-12.00PM","CLOSED","CLOSED","", 1.351884, 103.7245
"WEST","JURONG WEST","SGP000728","TAYKA MEDICAL FAMILY CLINIC (JURONG WEST)","BLK 526 JURONG WEST STREET 52 #01-323","640526","65645528","65649678","9.00AM-12.00PM,2.00PM-4.00PM,7.00PM-9.00PM","9.00AM-12.00PM","CLOSED","CLOSED","", 1.347625, 103.717001
"WEST","JURONG EAST","SGP000320","SUMMIT MEDICAL CLINIC","BLK 134 JURONG GATEWAY ROAD #01-307","600134","65673003","65673003","MON/TUE/WED/FRI:9.00AM-12.00PM,2.00PM-5.00PM,7.00PM-11.00PM (TUENIGHT CLOSED) THU:2.00PM-5.00PM,7.00PM-11.00PM","9.00AM-12.00PM","CLOSED","CLOSED","LAST REGISTRATIONIS 15MINS BEFORECLOSING .", 1.3339834, 103.7388329
"WEST","JURONG WEST","SGP000633","CARING FAMILY CLINIC","BLK 501 JURONG WEST STREET 51 #01-271","640501","65645677","65692776","8.30AM-12.00PM,1.00PM-5.00PM","8.30AM-1.00PM","CLOSED","CLOSED","", 1.3498853, 103.7191669
"WEST","JURONG EAST","SGP000700","BEWELL CLINIC @ DORM PTE LTD","28 WESTLITE DORMITORY MEZZANINE FLOOR TOH GUANROAD EAST","608596","65656338","65153105","8.30AM-12.30PM,2.00PM-4.00PM,6.30PM-8.30PM","CLOSED","CLOSED","CLOSED","", 1.335819, 103.7514997
"WEST","JURONG EAST","SGP000416","WU CLINIC & SURGERY","BLK 249 JURONG EAST STREET 24 #01-78","600249","65611672","65611672","8.30AM-12.30PM,2.00PM-5.00PM","8.30AM-12.00PM","CLOSED","CLOSED","", 1.342524, 103.739203
"WEST","JURONG WEST","SGP000678","CENTRAL 24-HR CLINIC (JURONG WEST)","BLK 492 JURONG WEST STREET 41 #01-54","640492","65657484","65657784","24-HOURS","24-HOURS","24-HOURS","24-HOURS","", 1.3499974, 103.7249331
